iter	Passed	Remaining
0	0	85
1	1	90
2	2	88
3	3	83
4	4	82
5	5	79
6	5	76
7	6	75
8	7	73
9	8	73
10	9	72
11	9	72
12	10	71
13	11	71
14	12	70
15	13	70
16	14	68
17	14	68
18	15	66
19	16	66
20	17	65
21	18	64
22	19	64
23	20	63
24	21	63
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	28	57
33	28	56
34	29	55
35	30	54
36	31	54
37	33	53
38	33	53
39	34	52
40	35	51
41	37	51
42	37	50
43	38	48
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	30
65	59	30
66	60	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	80	10
89	81	9
90	82	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	87	2
97	88	1
98	90	0
99	91	0
